City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Atar,MR,20.5169,-13.0499,72.88,28,56,6.08,broken clouds
280,Lata,PT,40.1629,-8.3327,50.04,61,98,4.0,overcast clouds
281,Linxia,CN,35.6003,103.2064,26.29,53,79,0.51,broken clouds
282,Alta Floresta,BR,-9.8756,-56.0861,71.08,97,100,2.06,overcast clouds
283,Olinda,BR,-8.0089,-34.8553,82.13,74,75,6.91,broken clouds
284,Grindavik,IS,63.8424,-22.4338,37.87,87,90,39.12,overcast clouds
285,Kjollefjord,NO,70.9457,27.3465,27.19,89,100,2.35,snow
286,Bedesa,ET,8.9,40.7833,60.22,54,15,3.78,few clouds
287,Santa Lucia,ES,27.9117,-15.5407,60.12,67,75,21.85,broken clouds
288,Egvekinot,RU,66.3167,-179.1667,1.26,79,13,1.1,few clouds
289,Yar-Sale,RU,66.8333,70.8333,20.19,90,100,9.84,overcast clouds
290,Khasan,RU,42.4308,130.6434,55.4,88,100,30.67,overcast clouds
291,Sinnamary,GF,5.3833,-52.95,79.34,85,100,10.87,overcast clouds
292,Nadym,RU,65.5333,72.5167,24.13,94,100,12.93,overcast clouds
293,Karla,EE,59.3723,24.9275,38.57,86,90,17.27,overcast clouds
294,Mapiripan,CO,2.8892,-72.1256,73.56,95,100,3.74,light rain
295,Moose Factory,CA,51.2585,-80.6094,40.98,93,1,6.91,clear sky
296,Souris,CA,49.6172,-100.2612,38.73,59,24,8.77,few clouds
297,Tikhvin,RU,59.6451,33.5294,33.22,97,100,5.93,snow
298,Nioro,GM,13.35,-15.75,76.01,62,15,6.08,few clouds
299,Camocim,BR,-2.9022,-40.8411,77.79,85,100,3.11,light rain
300,Mambago,PH,7.1056,125.6944,85.23,74,40,8.05,scattered clouds
301,Barraute,CA,48.4335,-77.6328,46.67,92,100,3.94,overcast clouds
302,Wattegama,LK,6.7989,81.4808,73.18,94,100,1.95,overcast clouds
303,Itarema,BR,-2.9248,-39.9167,79.11,80,66,7.61,broken clouds
304,Zlocieniec,PL,53.5329,16.0113,44.49,94,100,13.18,overcast clouds
305,Vastseliina,EE,57.7303,27.2932,41.65,93,100,9.28,overcast clouds
306,Kamaishi,JP,39.2667,141.8833,56.35,85,100,8.37,overcast clouds
307,Lovington,US,32.944,-103.3485,66.16,35,0,4.0,clear sky
308,Kumertau,RU,52.7667,55.7833,31.17,96,56,5.03,broken clouds
309,Vardo,NO,70.3705,31.1107,31.24,61,98,17.4,overcast clouds
310,Port Hardy,CA,50.6996,-127.4199,41.0,100,90,0.0,light intensity shower rain
311,Klaksvik,FO,62.2266,-6.589,45.52,81,99,20.09,overcast clouds
312,Lagoa,PT,39.05,-27.9833,68.16,86,3,23.8,clear sky
313,Omsukchan,RU,62.5333,155.8,19.29,95,100,1.32,light snow
314,Puebloviejo,CO,10.9938,-74.2844,82.6,78,40,3.44,scattered clouds
315,Dunmore Town,BS,25.5,-76.65,74.88,69,100,15.12,overcast clouds
316,Tres Picos,MX,15.8667,-93.5333,75.04,61,100,7.74,overcast clouds
317,Colon,PA,9.3592,-79.9014,80.37,86,100,10.0,overcast clouds
318,Juneau,US,58.3019,-134.4197,34.21,95,40,0.0,scattered clouds
319,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,4.61,broken clouds
320,Grand-Lahou,CI,5.1367,-5.0242,77.81,88,42,5.08,scattered clouds
321,Guarapari,BR,-20.6667,-40.4975,71.89,83,100,4.56,overcast clouds
322,Prince Rupert,CA,54.3161,-130.3201,40.69,84,100,11.5,light rain
323,Hohhot,CN,40.8106,111.6522,16.09,67,0,6.71,clear sky
324,Muzhi,RU,65.3667,64.6667,26.13,86,100,4.38,overcast clouds
325,Fortuna,US,40.5982,-124.1573,49.12,67,1,0.0,clear sky
326,Kurumkan,RU,54.3,110.3,21.29,83,100,1.36,overcast clouds
327,Mosquera,CO,4.7059,-74.2302,51.89,100,100,4.61,overcast clouds
328,Clyde River,CA,70.4692,-68.5914,11.08,89,42,11.59,scattered clouds
329,Carauari,BR,-4.8828,-66.8958,73.09,98,52,1.79,broken clouds
330,Dingle,PH,10.9995,122.6711,85.37,77,45,12.21,scattered clouds
331,San Miguel,SV,13.4833,-88.1833,83.86,58,20,4.61,few clouds
332,Dicabisagan,PH,17.0818,122.4157,82.71,80,68,5.7,broken clouds
333,Mocuba,MZ,-16.8392,36.9856,67.12,71,2,3.65,clear sky
334,Tateyama,JP,34.9833,139.8667,70.11,56,99,15.99,overcast clouds
335,Caibarien,CU,22.5206,-79.4669,65.52,67,70,9.19,broken clouds
336,Chuzhou,CN,32.3219,118.2978,41.25,43,0,13.13,clear sky
337,Tiksi,RU,71.6872,128.8694,13.26,78,100,22.66,overcast clouds
338,Belyy Yar,RU,53.6039,91.3903,39.09,56,0,11.18,clear sky
339,San Isidro,PE,-12.1167,-77.05,65.01,82,90,1.01,overcast clouds
340,Karatau,KZ,43.1667,70.4667,28.98,48,84,3.74,broken clouds
341,Trat,TH,12.5,102.5,84.25,78,63,8.25,broken clouds
342,Ixtapa,MX,20.7,-105.2,74.44,93,29,2.19,scattered clouds
343,Bosaso,SO,11.2842,49.1816,75.36,65,12,4.74,few clouds
344,Kirakira,SB,-10.4544,161.9205,86.41,65,3,8.25,clear sky
